n,steps,method,localSize,time
128,10,kernel_1.ptx,32,0.15514
128,10,kernel_1.ptx,64,0.0561025
128,10,kernel_1.ptx,70,0.0589689
128,10,kernel_1.ptx,96,0.0602856
128,10,kernel_1.ptx,100,0.0607279
128,10,kernel_1.ptx,128,0.064047
256,10,kernel_1.ptx,32,0.0659141
256,10,kernel_1.ptx,64,0.0670309
256,10,kernel_1.ptx,70,0.0704707
256,10,kernel_1.ptx,96,0.0710521
256,10,kernel_1.ptx,100,0.07397
256,10,kernel_1.ptx,128,0.0760754
512,10,kernel_1.ptx,32,0.0795648
512,10,kernel_1.ptx,64,0.0798991
512,10,kernel_1.ptx,70,0.08485
512,10,kernel_1.ptx,96,0.0864862
512,10,kernel_1.ptx,100,0.0920441
512,10,kernel_1.ptx,128,0.0909305
1024,10,kernel_1.ptx,32,0.0930988
1024,10,kernel_1.ptx,64,0.0936436
1024,10,kernel_1.ptx,70,0.096315
1024,10,kernel_1.ptx,96,0.0998923
1024,10,kernel_1.ptx,100,0.102151
1024,10,kernel_1.ptx,128,0.103051
2048,10,kernel_1.ptx,32,0.106217
2048,10,kernel_1.ptx,64,0.106329
2048,10,kernel_1.ptx,70,0.110279
2048,10,kernel_1.ptx,96,0.111129
2048,10,kernel_1.ptx,100,0.114675
2048,10,kernel_1.ptx,128,0.14571
4096,10,kernel_1.ptx,32,0.121202
4096,10,kernel_1.ptx,64,0.123633
4096,10,kernel_1.ptx,70,0.126068
4096,10,kernel_1.ptx,96,0.129397
4096,10,kernel_1.ptx,100,0.12962
4096,10,kernel_1.ptx,128,0.130768
128,100,kernel_1.ptx,32,0.129205
128,100,kernel_1.ptx,64,0.129835
128,100,kernel_1.ptx,70,0.132229
128,100,kernel_1.ptx,96,0.136167
128,100,kernel_1.ptx,100,0.137419
128,100,kernel_1.ptx,128,0.139452
256,100,kernel_1.ptx,32,0.146734
256,100,kernel_1.ptx,64,0.148203
256,100,kernel_1.ptx,70,0.15034
256,100,kernel_1.ptx,96,0.150199
256,100,kernel_1.ptx,100,0.154147
256,100,kernel_1.ptx,128,0.153858
512,100,kernel_1.ptx,32,0.162583
512,100,kernel_1.ptx,64,0.163171
512,100,kernel_1.ptx,70,0.168253
512,100,kernel_1.ptx,96,0.176
512,100,kernel_1.ptx,100,0.173018
512,100,kernel_1.ptx,128,0.173784
1024,100,kernel_1.ptx,32,0.186162
1024,100,kernel_1.ptx,64,0.189344
1024,100,kernel_1.ptx,70,0.191673
1024,100,kernel_1.ptx,96,0.195367
1024,100,kernel_1.ptx,100,0.200043
1024,100,kernel_1.ptx,128,0.198491
2048,100,kernel_1.ptx,32,0.224507
2048,100,kernel_1.ptx,64,0.247006
2048,100,kernel_1.ptx,70,0.223643
2048,100,kernel_1.ptx,96,0.228037
2048,100,kernel_1.ptx,100,0.23421
2048,100,kernel_1.ptx,128,0.234101
4096,100,kernel_1.ptx,32,0.269739
4096,100,kernel_1.ptx,64,0.272447
4096,100,kernel_1.ptx,70,0.27647
4096,100,kernel_1.ptx,96,0.279946
4096,100,kernel_1.ptx,100,0.286054
4096,100,kernel_1.ptx,128,0.285434
128,1000,kernel_1.ptx,32,0.25124
128,1000,kernel_1.ptx,64,0.252473
128,1000,kernel_1.ptx,70,0.258434
128,1000,kernel_1.ptx,96,0.258364
128,1000,kernel_1.ptx,100,0.26329
128,1000,kernel_1.ptx,128,0.2625
256,1000,kernel_1.ptx,32,0.29133
256,1000,kernel_1.ptx,64,0.290519
256,1000,kernel_1.ptx,70,0.292848
256,1000,kernel_1.ptx,96,0.296592
256,1000,kernel_1.ptx,100,0.301052
256,1000,kernel_1.ptx,128,0.301433
512,1000,kernel_1.ptx,32,0.34745
512,1000,kernel_1.ptx,64,0.35206
512,1000,kernel_1.ptx,70,0.357368
512,1000,kernel_1.ptx,96,0.358961
512,1000,kernel_1.ptx,100,0.360795
512,1000,kernel_1.ptx,128,0.363188
1024,1000,kernel_1.ptx,32,0.45109
1024,1000,kernel_1.ptx,64,0.453078
1024,1000,kernel_1.ptx,70,0.456109
1024,1000,kernel_1.ptx,96,0.455888
1024,1000,kernel_1.ptx,100,0.458344
1024,1000,kernel_1.ptx,128,0.458956
2048,1000,kernel_1.ptx,32,0.628945
2048,1000,kernel_1.ptx,64,0.634905
2048,1000,kernel_1.ptx,70,0.636987
2048,1000,kernel_1.ptx,96,0.645919
2048,1000,kernel_1.ptx,100,0.645493
2048,1000,kernel_1.ptx,128,0.646439
4096,1000,kernel_1.ptx,32,0.986437
4096,1000,kernel_1.ptx,64,1.00811
4096,1000,kernel_1.ptx,70,0.982001
4096,1000,kernel_1.ptx,96,0.996472
4096,1000,kernel_1.ptx,100,1.02181
4096,1000,kernel_1.ptx,128,0.996038
